FID *,Name,Region,State,MAP_TYPE,MAP_LEVEL,PROJECT,MAP_UNIT_S,MAP_UNIT_N,SUBSECTION,ecological.section,ecological.province
477,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,M313Af,White Mountains Scarp Woodland-Coniferous Forest,1010,M313A,M313
478,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322Be,Chocolate Mountains and Valleys,1012,322B,322
479,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322Bd,Palo Verde Valley and Mesa,1016,322B,322
480,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322Aq,Saint George Basin,805,322A,322
481,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322Ay,Black Mountains Woodland,809,322A,322
482,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Ac,Monument Upwarp,906,313A,313
483,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Ba,Chuska Mountains Woodland,912,313B,313
484,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Ai,Vermilion Cliffs-Navajo Steppe,798,313A,313
485,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313At,Gothic Mesas Carrizo Mountains,814,313A,313
486,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Ad,Glen Canyon,829,313A,313
487,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Ab,Canyon of Ancients-Blanding Basin,840,313A,313
488,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322At,South Virgin River Peak Ridges and Fans,843,322A,322
489,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Ag,Kaibab Uplift,844,313A,313
490,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Ao,Grand Canyon Shrub- Woodland,857,313A,313
491,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Ar,Kaibab Plateau Montane Conifer Forest,865,313A,313
492,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322Av,Hualapai Mountains Desert Grass-Shrubland,868,322A,322
493,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Am,Kaibito Plateau High Desert Shrubland,869,313A,313
494,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322Am,Piute Valley-Sacramento Mountains,870,322A,322
495,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322Az,Hualapai Mountains Coniferous Forest,872,322A,322
496,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Df,Kaibab Coniferous Forest,929,313D,313
497,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,M313Ak,Coconino Plateau Woodland,953,M313A,M313
498,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Da,Little Colorado River Valley Cold Desert Shrubland,973,313D,313
499,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Dc,Hopi Mesas Woodland,977,313D,313
500,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Cd,Mazatzal Mountains Woodland,983,313C,313
501,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Cc,Mazatzal Mountains Interior Chapparral,995,313C,313
502,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Bo,San Mateo Mountain Woodlands,997,313B,313
503,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,M313Ah,White Mountains Coniferous Forest,1044,M313A,M313
504,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322As,Beaver Dam Wash,795,322A,322
505,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Ak,Cold Desert-Great Basin Sagebrush,796,313A,313
506,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Ah,Shinarump Steppe,797,313A,313
507,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,M313Ag,White Mountains Woodland,1052,M313A,M313
508,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,M313Ad,Mogollon Mountains Woodland,1058,M313A,M313
509,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322Ce,Yuma Desert Cactus-Shrubland,1059,322C,322
510,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,321Ag,Animas Valley Plains Desert Grass-Shrubland,1067,321A,321
511,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,M313Ac,Burro Mountains Oak-Juniper Woodland,1096,M313A,M313
512,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,321Am,Santa Catalina Mountains Encinal Woodland,1121,321A,321
513,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322Bh,Gila Bend Low Mountains Desert Cactus-Shrubland,1070,322B,322
514,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,321Ai,Sulphur Springs Desert Shrubland,1073,321A,321
515,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,321Ak,Santa Catalina Mountains Sierra Madre Interior Chaparral,1081,321A,321
516,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,321Aj,Sulphur Springs Plains Desert Grass-Shrubland,1114,321A,321
517,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,321Af,San Simon Valley Desert Shrubland,1088,321A,321
518,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313As,Kaibab Plateau Spruce-Fir Forest,875,313A,313
519,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Ap,Vermilion Cliffs Woodland,881,313A,313
520,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Aq,Grand Wash-Aubrey Cliffs Woodland,894,313A,313
521,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313De,Kaibab Woodland,895,313D,313
522,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,313Bd,Chaco Basin High Desert Shrubland,901,313B,313
523,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322Au,Hualapai Valley Desert Shrubland,903,322A,322
524,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,321Al,San Rafael Sierra Madre High Plains Grassland,1139,321A,321
525,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,321Ah,Animas Mountains Oak-Juniper Woodland,1149,321A,321
526,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322Aw,Aubrey High Plains Grassland,904,322A,322
527,Arizona,Mountain,AZ,ECUN,SUBS,ECOMAP07,322Ax,Aquarius Mountains Woodland,921,322A,322
528,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,223Ag,White River Hills,1027,223A,223
529,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,234Db,Crowley's Ridge,1032,234D,234
530,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,234Da,North Mississippi River Alluvial Plain,1014,234D,234
531,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,234Dc,White and Black Rivers Alluvial Plain,1018,234D,234
532,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,234Aa,Southern Mississippi River Alluvial Plain,1133,234A,234
533,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,223Ab,Central Plateau,931,223A,223
534,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,223Am,Springfield Plain,950,223A,223
535,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,223Ah,Elk River Hills,1037,223A,223
536,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,223An,Springfield Plateau,1041,223A,223
537,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,234Do,St. Francis River Alluvial Plain,1042,234D,234
538,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,M223Aa,Boston Mountains,1049,M223A,M223
539,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,M223Ab,Boston Hills,1051,M223A,M223
540,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,234Ea,Arkansas Alluvial Plain,1102,234E,234
541,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,M231Ab,West Central Ouachita Mountains,1105,M231A,M231
542,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,231Ec,Ouachita Alluvial Valleys,1120,231E,231
543,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,231Eb,Southwestern Arkansas,1124,231E,231
544,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,231Eo,Red River Alluvial Plain,1128,231E,231
545,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,231Gc,Western Arkansas Valley and Ridges,1072,231G,231
546,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,231Ga,Eastern Arkansas Valley and Ridges,1074,231G,231
547,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,231Gb,Mount Magazine,1080,231G,231
548,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,M231Ac,East Central Ouachita Mountains,1109,M231A,M231
549,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,231Ea,South Central Arkansas,1112,231E,231
550,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,M231Ad,Athens Piedmont Plateau,1115,M231A,M231
551,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,M231Aa,Fourche Mountains,1086,M231A,M231
552,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,234Eb,Arkansas Grand Prairie,1089,234E,234
553,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,234Ec,Bastrop Ridge,1134,234E,234
554,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,231Eg,Sand Hills,1145,231E,231
555,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,231Ek,Southwestern Arkansas Blackland Prairies,1151,231E,231
556,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,231Ej,South Central Arkansas Flatwoods,1152,231E,231
557,Arkansas,West South Central,AR,ECUN,SUBS,ECOMAP07,234Ah,Macon Ridge,1153,234A,234
558,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Cc,Central Ogallala High Plains,749,331C,331
559,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Hn,West Elks,761,M331H,M331
560,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Cd,South Ogallala High Plains,762,331C,331
561,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Il,Upper Arkansas Valley,763,M331I,M331
562,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,341Bg,Northeast Flank,764,341B,341
563,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331In,Pikes Peak-Rampart Range,766,M331I,M331
564,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Iw,Elk Mountains,751,M331I,M331
565,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Hm,Grand Mesa Break,752,M331H,M331
566,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Id,South Laramie Mountains,569,M331I,M331
567,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Iv,Medicine Bow Mountains,570,M331I,M331
568,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Hf,Lower Roaring Fork Valley,732,M331H,M331
569,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,341Bo,North Uncompahgre Plateau,733,341B,341
570,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Ik,Sawatch Range,736,M331I,M331
571,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Gd,San Juan Hills,846,M331G,M331
572,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Ij,South Park,759,M331I,M331
573,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,342Gf,Muddy Creek-Little Snake River Valleys,581,342G,342
574,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Ii,Northern Arkansas Granitics-39 Mile Mountain,803,M331I,M331
575,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Ig,Arkansas Valley High Tablelands,807,331I,331
576,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,313Ac,Monument Upwarp,906,313A,313
577,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Gk,Brazos Uplift,913,M331G,M331
578,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Ee,Dutch John-Cold Spring Mountain,594,M331E,M331
579,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Iu,Park-Sierra Madre Ranges,596,M331I,M331
580,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Ei,Diamond Mountain Highlands,598,M331E,M331
581,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Hf,Denver-Julesburg Basin,612,331H,331
582,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Eg,Douglas Mountain Highlands,618,M331E,M331
583,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,341Ca,Uinta Basin,619,341C,341
584,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Iq,Zirkle Range,620,M331I,M331
585,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Fg,Sangre de Cristo Mountains Woodland,945,M331F,M331
586,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,342Gd,Washakie Basin,545,342G,342
587,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,342Ff,Laramie Basin,559,342F,342
588,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Ie,Lower Arkansas-Big Sandy Valley,799,331I,331
589,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Gf,Hills and Plateaus,815,M331G,M331
590,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,341Be,Dove Creek-Egnar Plains,820,341B,341
591,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331If,Arkansas Vally Tablelands,823,331I,331
592,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Gu,San Juan Mountains - Weminuche Wilderness,824,M331G,M331
593,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Fa,Sangre de Cristo,832,M331F,M331
594,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Fb,Wet Mountains,833,M331F,M331
595,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Ja,San Luis Valley,835,331J,331
596,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Fc,Wet Mountain Valley,836,M331F,M331
597,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,313Ab,Canyon of Ancients-Blanding Basin,840,313A,313
598,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Gn,San Juan Mountains West,842,M331G,M331
599,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Gq,San Juan Mountains Central,863,M331G,M331
600,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Ia,Picketwire Canyonlands-Rolling Plains,874,331I,331
601,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Ha,Elkhead Mountains,600,M331H,M331
602,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,342Gg,Axial Basin High,601,342G,342
603,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Ib,North Front Range,624,M331I,M331
604,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Eh,Blue Mountain Highlands,627,M331E,M331
605,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Io,North Park,632,M331I,M331
606,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Ha,Southern Denver-Julesburg Basin,637,331H,331
607,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Hb,Williams Fork Mountains and Hills,642,M331H,M331
608,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331He,Northern Front Range Foothills,648,331H,331
609,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Ff,Raton Basin,932,M331F,M331
610,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Bd,Sandy-Smooth High Plains,954,331B,331
611,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Bc,Tablelands-Red Hills,955,331B,331
612,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,341Bp,Uncompahgre Plateau,776,341B,341
613,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Gc,Gunnison Basin-Black Canyon,790,M331G,M331
614,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,341Bq,South Uncompahgre Plateau,794,341B,341
615,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M341Bb,Book Cliffs-Paradox Basin,696,M341B,M341
616,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331It,Winter Park,697,M331I,M331
617,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Cf,South Arikaree High Plains,712,331C,331
618,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Hl,Divide and Plateau Creeks Uplands,713,M331H,M331
619,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Ig,Mosquito-Gore Range,716,M331I,M331
620,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Hh,Hardscabble-Red and White Mountains,720,M331H,M331
621,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Ip,Indian Peaks-Williams Mountains,655,M331I,M331
622,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M341Bc,Pieance Basin,660,M341B,M341
623,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M341Ba,Tavaputs Plateau South Uinta Basin,662,M341B,M341
624,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Cb,West Ogallala High Plains,729,331C,331
625,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Ih,Platte River,740,M331I,M331
626,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Is,Middle Park,665,M331I,M331
627,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,341Ba,Mancos Shale Lowlands-Grand Valley,669,341B,341
628,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Hd,Flat Tops,671,M331H,M331
629,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M341Bd,Upper Tavaputs Plateau,674,M341B,M341
630,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Ir,Rabbit Ears Range,677,M331I,M331
631,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Hc,Eastern Central High Plains,678,331H,331
632,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M341Bg,Book Cliffs-Roan Cliffs,679,M341B,M341
633,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,341Bd,Salt Anticline Benchlands,746,341B,341
634,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Hp,Grand Mesa,747,M331H,M331
635,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Ih,Black Forest,748,331I,331
636,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,341Bk,La Sal Mountains,769,341B,341
637,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Ii,Southern Front Range Foothills,770,331I,331
638,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Ca,Nebraska Sandhills,682,331C,331
639,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Hg,Grande Hogback,685,M331H,M331
640,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Hb,Western Central High Plains,691,331H,331
641,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Gs,San Juan Mountains South Central,876,M331G,M331
642,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,313Bc,Chuska Valley Cold Desert Shrubland,880,313B,313
643,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,313Aa,San Juan Basin-Mesa Verde,884,313A,313
644,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,313Be,San Juan Basin North,885,313B,313
645,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Jc,Mogotes,887,331J,331
646,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,M331Gv,San Juan Mountains - South San Juan Wilderness,888,M331G,M331
647,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Be,Western Arkansas River Lowlands,917,331B,331
648,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Jb,San Luis Hills,918,331J,331
649,Colorado,Mountain,CO,ECUN,SUBS,ECOMAP07,331Ba,Sand Hill-Ogolla Plateau,920,331B,331
650,Iowa,West North Central,IA,ECUN,SUBS,ECOMAP07,251Be,Southern Des Moines Lobe,515,251B,251
651,Iowa,West North Central,IA,ECUN,SUBS,ECOMAP07,251Ba,Upper Minnesota River-Des Moines Lobe,278,251B,251
652,Iowa,West North Central,IA,ECUN,SUBS,ECOMAP07,251Cl,Chariton River Hills,730,251C,251
653,Iowa,West North Central,IA,ECUN,SUBS,ECOMAP07,251Bb,Outer Coteau des Prairies,309,251B,251
654,Iowa,West North Central,IA,ECUN,SUBS,ECOMAP07,222Lc,Mississippi-Wisconsin River Ravines,426,222L,222
655,Iowa,West North Central,IA,ECUN,SUBS,ECOMAP07,222Me,Oak Savannah Till and Loess Plains,427,222M,222
656,Iowa,West North Central,IA,ECUN,SUBS,ECOMAP07,222Lf,Western Paleozoic Plateau,438,222L,222
657,Iowa,West North Central,IA,ECUN,SUBS,ECOMAP07,251Bd,Northwest Iowa Plains,360,251B,251
658,Iowa,West North Central,IA,ECUN,SUBS,ECOMAP07,251Ch,Southeast Iowa Rolling Loess Hills,616,251C,251
659,Iowa,West North Central,IA,ECUN,SUBS,ECOMAP07,251Cg,Missouri River Alluvial Plain,546,251C,251
660,Iowa,West North Central,IA,ECUN,SUBS,ECOMAP07,251Ca,Deep Loess Hills,573,251C,251
661,Iowa,West North Central,IA,ECUN,SUBS,ECOMAP07,251Cb,Loess Hills,862,251C,251
662,Iowa,West North Central,IA,ECUN,SUBS,ECOMAP07,251Cf,Mississippi River and Illinois Alluvial Plains,635,251C,251
663,Iowa,West North Central,IA,ECUN,SUBS,ECOMAP07,251Cm,Wyaconda River Dissected Till Plains,743,251C,251
664,Iowa,West North Central,IA,ECUN,SUBS,ECOMAP07,251Cc,Central Dissected Till and Loess Plain,688,251C,251
665,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,331Cc,Central Ogallala High Plains,749,331C,331
666,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,331Cd,South Ogallala High Plains,762,331C,331
667,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,332Ea,Smokey Hills,731,332E,332
668,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,332Fc,Eastern South Central and Red Bed Plains,946,332F,332
669,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,332Fa,Northern South Central and Red Bed Plains,963,332F,332
670,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,332Fb,Southern South Central and Red Bed Plains,968,332F,332
671,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,332Ef,Eastern Arkansas River Lowlands,915,332E,332
672,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,251Cg,Missouri River Alluvial Plain,546,251C,251
673,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,331Ie,Lower Arkansas-Big Sandy Valley,799,331I,331
674,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,251Fd,Northeastern Flint Hills,818,251F,251
675,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,251Fa,Western Flint Hills,838,251F,251
676,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,251Cb,Loess Hills,862,251C,251
677,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,251Fb,Eastern Flint Hills,871,251F,251
678,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,251Eb,Cherokee Plains,930,251E,251
679,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,255Am,Central Tall Grass Prairie,933,255A,255
680,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,223Am,Springfield Plain,950,223A,223
681,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,331Bd,Sandy-Smooth High Plains,954,331B,331
682,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,315Fb,Canadian-Cimarron Breaks,957,315F,315
683,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,255Aa,Cross Timbers-Cherokee Prairie,988,255A,255
684,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,331Ce,Western Sandsage-Mixed Prairie,700,331C,331
685,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,332En,Eastern Sand Sage-Mixed Prairie,701,332E,332
686,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,331Cb,West Ogallala High Plains,729,331C,331
687,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,251Hd,Pawnee City-Seneca Rolling Hills,689,251H,251
688,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,251Hc,York Plains,692,251H,251
689,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,251Ea,Scarped Osage Plains,877,251E,251
690,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,331Be,Western Arkansas River Lowlands,917,331B,331
691,Kansas,West North Central,KS,ECUN,SUBS,ECOMAP07,331Ba,Sand Hill-Ogolla Plateau,920,331B,331
692,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,234Da,North Mississippi River Alluvial Plain,1014,234D,234
693,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,234Aa,Southern Mississippi River Alluvial Plain,1133,234A,234
694,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,Water,Water,816,Wate,Wat
695,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,234Cc,Teche Terrace,1204,234C,234
696,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,232Eb,LA-TX Gulf Coast Marshes and Inland Bays,1210,232E,232
697,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,232Ef,LA Gulf Coast Marshes and Inland Bays,1215,232E,232
698,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,232La,LA-MS Gulf Coast Flatwoods-Bays and Barrier Islands,1216,232L,232
699,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,232Fe,Piney Woods Transition,1180,232F,232
700,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,232Fc,Sabine Alluvial Valley,1186,232F,232
701,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,234Ca,Red River Alluvial Plain,1191,234C,234
702,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,232Fa,Southern Loam Hills,1194,232F,232
703,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,234Cd,Opelousas Ridge,1196,234C,234
704,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,234Cb,Atchafalaya Alluvial Plain,1197,234C,234
705,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,232Fb,Southwest Flatwoods,1201,232F,232
706,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,232Ea,Gulf Coast Prairie,1202,232E,232
707,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,234Ad,Baton Rouge Terrace,1203,234A,234
708,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,231Ec,Ouachita Alluvial Valleys,1120,231E,231
709,Louisiana,West South Central,LA,ECUN,SUBS,ECOMAP07,231Eo,Red River Alluvial Plain,1128,231E,231
